acc.date,aircraft_type,operator,fatalities,damage
2021-03-04,Fokker 100,Iran Air,0,non
2021-03-07,Embraer EMB-120ER Brasilia,Berry Aviation,0,sub
2021-03-10,Cessna 208B Grand Caravan,Mission Aviation Fellowship - MAF,0,sub
2021-03-12,Cessna 208B Grand Caravan,Grant Aviation,0,sub
2021-03-13,Antonov An-26,Kazakhstan Border Guards,4,w/o
2021-03-15,Boeing 777-223ER,American Airlines,0,non
2021-03-16,Bombardier CRJ-701ER,Skywest Airlines,0,non
2021-03-18,Airbus A320-232,Viva Aerobus,0,sub
2021-03-19,Antonov An-2T,Venezuela Flight Canaima,0,sub
2021-03-20,Cessna 208B Grand Caravan,Aeronav Air Services,2,w/o
2021-03-20,Boeing 737-4Y0,Trigana Air Service,0,sub
2021-03-23,Saab 340AF,SprintAir,0,sub
2021-03-25,Embraer,Mauritania Airlines International,0,non
2021-03-26,Beechcraft B200 Super King Air,West Wind Aviation Ltd.,0,w/o
2021-03-28,Embraer EMB-145LR,"American Eagle , opb Piedmont Airlines",0,non
2021-04-02,Boeing 737-8AS (WL),Malta Air,0,min
2021-04-03,Cessna 208B Grand Caravan,Everts Air Cargo,0,sub
2021-04-08,Antonov An-2,Unknown,0,w/o
2021-04-09,Boeing C-17A Globemaster III,United States Air Force - USAF,0,sub
2021-04-14,Cessna 525A CitationJet CJ2+,private,0,sub
2021-04-15,Learjet 35A,Med Air Inc,0,sub
2021-04-16,Beechcraft B99 Airliner,Lake Clark Air,0,sub
2021-04-18,Learjet 25B,Unknown,0,sub
2021-04-20,Learjet 35A,Eletric Power Construção,1,w/o
2021-04-26,Cessna 208B Grand Caravan EX,Haugland Group Aviation LLC,0,sub
2021-05-01,Cessna 550 Citation II,STB Aviation LLC,0,sub
2021-05-05,Gulfstream G150,TLD Aviation I LLC,0,sub
2021-05-06,Beechcraft B200GT King Air 250,Government of Madhya Pradesh,0,sub
2021-05-10,ATR 72-600 (72-212A),Uni Air,0,sub
2021-05-12,Boeing 737-8AS (WL),Ryanair,0,non
2021-05-12,Swearingen SA226-TC Metro II,Key Lime Air,0,sub
2021-05-13,Cessna 208B Grand Caravan,Skydive Andes,0,unk
2021-05-19,Hawker 800,private,0,w/o
2021-05-20,IAI 1125 Astra,private,0,sub
2021-05-21,Boeing 737-7H4,Southwest Airlines,0,min
2021-05-21,Antonov An-2R,Utair,0,sub
2021-05-21,Beechcraft B300 King Air 350i,Nigerian Air Force - NAF,11,w/o
2021-05-28,Boeing 767-38E,Asiana Airlines,0,non
2021-05-28,Boeing 737-823 (WL),American Airlines,0,sub
2021-05-29,Cessna 501 Citation I/SP,JL&GL Productions LP,7,w/o
2021-05-30,ATR 72-500 (72-212A),Sky Express,0,sub
2021-06-02,Beechcraft 1900C,Alpine Air Express,0,sub
2021-06-03,Cessna 208B Grand Caravan EX,Dabi Air Nusantara,0,w/o
2021-06-04,Honda HA-420 HondaJet,GF Aviation LLC,0,sub
2021-06-05,Cessna 208B Supervan 900,Paraclub Wiener Neustadt,0,sub
2021-06-07,Boeing 737-8AL (WL),Vistara,0,non
2021-06-10,Beechcraft 1900D,Tatmadaw Lei (Myanmar Air Force),12,w/o
2021-06-13,Boeing 737-8AS (WL),Ryanair,0,non
2021-06-14,ATR 72-600 (72-212A),IndiGo Airlines,0,sub
2021-06-16,Let L-410UVP-E,Kin Avia,3,w/o
2021-06-18,Boeing 787-8 Dreamliner,British Airways,0,sub
2021-06-19,Let L-410UVP-E,DOSAAF,5,w/o
2021-06-21,Rockwell Sabreliner 65,private,0,w/o
2021-06-23,Gulfstream G280,INEOS Aviation,0,sub
2021-06-23,Lockheed L-100-30 Hercules,Ethiopian Air Force,0,w/o
2021-06-24,Antonov An-2R,private,0,sub
2021-06-25,Airbus A321-231,American Airlines,0,non
2021-06-25,Shorts 360-300,Air Cargo Carriers,0,sub
2021-06-25,Cessna 208B Supervan 900,Skydive Teuge,0,sub
2021-06-29,Airbus A350-941,Air France,0,non
2021-07-01,Convair CV-580 Airtanker,Conair,0,sub
2021-07-01,Convair CV-580 Airtanker,Conair,0,min
2021-07-02,Boeing 737-275C Adv.,Transair (Cargo),0,w/o
2021-07-02,Cessna 750 Citation X,Hellenic CAA,0,sub
2021-07-04,Airbus A321-231,American Airlines,0,non
2021-07-04,Antonov An-2R,ELISA,0,sub
2021-07-04,Lockheed C-130H Hercules,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),0,w/o
2021-07-05,IAI 1124A Westwind II,Transenergie Inc,2,w/o
2021-07-06,ATR 42-320,Transwest Air,0,non
2021-07-06,Antonov An-26B-100,Kamchatka Aviation Enterprise,28,w/o
2021-07-07,Cessna 208B Grand Caravan,Ryan Air,0,non
2021-07-08,Douglas DC-3C,ALIANSA Colombia,3,w/o
2021-07-11,Airbus A320-214,Condor Flugdienst,0,sub
2021-07-11,de Havilland Canada DHC-3T Vazar Turbine Otter,Northwestern Air,0,sub
2021-07-11,Cessna 208 Caravan I,Air Tunilik,0,sub
2021-07-14,Cessna 208B Grand Caravan EX,Jags Aviation,0,sub
2021-07-15,de Havilland Canada DHC-3T Vazar Turbine Otter,Harbour Air,0,sub
2021-07-15,Cessna 208 Caravan I,Seair Seaplanes,0,sub
2021-07-16,Antonov An-28,SiLA - Siberian Light Aviation,0,sub
2021-07-17,Cessna 208B Supervan 900,GoSkydive,0,sub
2021-07-18,ATR 72-500 (72-212A),"Air Europa Express, opb Aeronova",0,sub
2021-07-20,British Aerospace BAe-125-700A,private,0,w/o
2021-07-21,Cessna 560XL Citation Excel,PV Transport Inc,0,sub
2021-07-21,de Havilland Canada DHC-8-106,Skyward Express,0,sub
2021-07-22,Airbus A321-211,Delta Air Lines,0,non
2021-07-25,Boeing 737-8JP (WL),Norwegian Air Sweden,0,non
2021-07-26,Bombardier CL-600-2B16 Challenger 605,Aeolus Air Charter,6,w/o
2021-07-26,Cessna 208 Supervan 900,Skydive Binz,1,w/o
2021-07-27,Cessna 208B Grand Caravan,"Abyssinian Flight Services, opf UNWorld Food Programme",0,w/o
2021-07-31,Boeing 737-8AS (WL),Ryanair,0,non
2021-08-03,Airbus A300B4-622R (F),European Air Transport,0,sub
2021-08-09,Gulfstream American G-1159A Gulfstream III,private,0,w/o
2021-08-11,McDonnell Douglas MD-11F,United Parcel Service - UPS,0,sub
2021-08-12,Shijiazhuang Y-5B(D),Northeast General Aviation Co.,0,w/o
2021-08-14,Britten-Norman BN-2A-III-2 Trislander,Roraima Airways,0,min
2021-08-14,Bombardier DHC-8-402Q Dash 8,Congo Airways,0,min
2021-08-14,Beriev Be-200ChS,Russian Navy,8,w/o
2021-08-16,Cessna 208B Grand Caravan,Wright Air Service,0,sub
2021-08-17,Ilyushin Il-112V,United Aircraft Corporation,3,w/o
2021-08-21,Airbus A319-132,American Airlines,0,non
2021-08-21,de Havilland Canada DHC-3T Turbine Otter,Brooks Range Aviation,0,sub
2021-08-21,Gulfstream G-IV,SN 1124 LLC,0,sub
2021-08-23,Boeing 737-990ER,Alaska Airlines,0,non
2021-08-24,Cirrus SF50 Vision Jet,N1GG LLC,0,w/o
2021-08-25,Beechcraft 1900D,SkyJet,0,sub
2021-08-26,Embraer EMB-505 Phenom 300,Nicholas Services LLC,0,sub
2021-08-27,Bombardier CRJ-900LR,Air Canada,0,min
2021-09-01,Boeing 767-332ER (WL),Delta Air Lines,0,non
2021-09-02,Cessna 560XLS+ Citation XLS+,Brook Haven Properties LLC,4,w/o
2021-09-03,Raytheon 390 Premier I,PB Air LLC,0,sub
2021-09-04,ATR 72-600 (72-212A),IndiGo Airlines,0,non
2021-09-04,Cessna 560XL Citation Excel,Fly Exclusive,0,sub
2021-09-12,British Aerospace BAe-125,private,0,w/o
2021-09-12,Let L-410UVP-E20,"Aeroservice, opf SiLA - Siberian Light Aviation",4,w/o
2021-09-14,Raytheon Beechjet 400A,Meander Air II LLC,0,sub
2021-09-14,Beechcraft B200GT King Air 250,CSM Agropecuária,7,w/o
2021-09-15,Airbus A320-214,Austrian Airlines,0,sub
2021-09-15,de Havilland Canada DHC-6 Twin Otter 300,Rimbun Air,3,w/o
2021-09-17,Canadair CRJ-200LR,"United Express, opb Air Wisconsin",0,sub
2021-09-20,Learjet 35A,Impuma Group,0,sub
2021-09-22,Antonov An-26KPA,LPS Flight Checks & Systems,6,w/o
2021-09-23,Airbus A321-271N,Hawaiian Airlines,0,sub
2021-09-25,Cessna 208B Supervan 900,Paracentrum Vlaanderen,0,sub
2021-09-27,Saab 340B,"STP Airways, lsf AeroJet",0,sub
2021-09-27,Boeing 757-224 (WL),United Airlines,0,sub
2021-09-28,IAI 1124A Westwind II,Brasil Vida Táxi Aéreo,0,sub
2021-09-29,Britten-Norman BN-2B-26 Islander,SVG Air,0,sub
2021-10-01,Embraer ERJ-175LR,"United Express, opb Republic Airlines",0,sub
2021-10-01,Embraer ERJ-175LR,"United Express, opb SkyWest Airlines",0,min
2021-10-05,Dassault Falcon 20C,Sierra West Airlines,2,w/o
2021-10-08,Boeing 737-8H4 (WL),Southwest Airlines,0,non
2021-10-08,Learjet 35A,private,0,w/o
2021-10-10,Let L-410UVP-E3,DOSAAF,16,w/o
2021-10-13,Bombardier BD-700-1A10 Global 6000,VistaJet,0,sub
2021-10-14,Antonov An-2T,private,0,w/o
2021-10-15,Cessna 208B Grand Caravan,Air Services Limited - ASL,0,non
2021-10-18,Beechcraft 200 Super King Air,Lowcountry Aviation Co Brokerage LLC,0,sub
2021-10-19,Antonov An-2R,AeroUral,0,sub
